company_name,ticker_bb,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,market_cap_mln_gbp,plan_name,financial_year,plan_status,metric_name,weight_percentage,threshold_value,threshold_payout_percentage,target_value,target_payout_percentage,stretch_value,stretch_payout_percentage,maximum_value,maximum_payout_percentage,actual_performance,actual_payout_percentage,total_bonus_payout,assessment_summary,additional_conditions,file_name,ar_link,source_link,source_attribution_tier,source_chunk_id
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2024,completed,Underlying EPS at Fixed Prices and FX,17.0,Not disclosed (commercially sensitive),25.0,Not disclosed (commercially sensitive),,,,Not disclosed (commercially sensitive),100.0,Partial vesting achieved,,66.1,,Designed to reflect operational performance excluding price/currency variations. Contributed to 31.8% overall financial metrics payout (64% of maximum for financial measures).,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=194"",""p.194 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2024,completed,Underlying EPS at Actual Prices and FX,17.0,Not disclosed (commercially sensitive),25.0,Not disclosed (commercially sensitive),,,,Not disclosed (commercially sensitive),100.0,Partial vesting achieved,,66.1,,Contributed to 31.8% overall financial metrics payout (64% of maximum for financial measures).,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=194"",""p.194 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2024,completed,Sustaining Attributable Free Cash Flow (SAFCF),16.0,Not disclosed (commercially sensitive),25.0,Not disclosed (commercially sensitive),,,,Not disclosed (commercially sensitive),100.0,Full vesting - target exceeded,100.0,66.1,,Measured at fixed prices and FX rates; targets adjusted for disposals and corporate transactions.,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=208"",""p.208 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2024,completed,"Safety, Health and Environment (SHE) Measures",20.0,Not specified,,Not disclosed (commercially sensitive),,,,Not disclosed (commercially sensitive),100.0,Strong performance - all SHE targets met,100.0,66.1,Strong performance - all SHE targets met. 100% of maximum for SHE measures achieved.,"Components: TRIFR (Total Recordable Injury Frequency Rate), planned maintenance delivery, Visible Felt Leadership (VFL), environmental footprint improvement. Leading indicators designed to support strengthened safety outcomes; subject to 15% safety deductor applied to total bonus.",anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=201"",""p.201 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2024,completed,Strategic Measures (Qualitative),11.0,Not specified,,Not disclosed (commercially sensitive),,,,Not disclosed (commercially sensitive),100.0,Detailed assessment by Committee following year-end,90.9,66.1,Group strategic priorities for the year; combination of quantitative and qualitative metrics; new measure relating to transformation work in H2 2024 following announcement of accelerated portfolio changes. Payout: 10.0% (90.9% of maximum for strategic measures).,Adjusted from original 10% following portfolio transformation review. Amendments to specific deliverables related to announced divestments.,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=202"",""p.202 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2024,completed,Individual/Personal Objectives (Qualitative),19.0,Not specified,,Not disclosed (commercially sensitive),,,,Not disclosed (commercially sensitive),100.0,Strong performance against individual objectives,84.2,66.1,Critical deliverables specific to CEO role; focused on operational and financial performance of the business; tailored objectives for CEO responsibilities. Payout: 16.0% (84.2% of maximum for personal measures).,Adjusted from original 20% following portfolio transformation review.,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=199"",""p.199 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2025,prospective,Underlying EPS at Fixed Prices and FX,17.0,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),25.0,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),,,,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),100.0,,,,,Reflects operational performance excluding price/currency variations. Half of 34% total EPS weighting.,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=199"",""p.199 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2025,prospective,Underlying EPS at Actual Prices and FX,17.0,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),25.0,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),,,,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),100.0,,,,,Half of 34% total EPS weighting.,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=199"",""p.199 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2025,prospective,Sustaining Attributable Free Cash Flow (SAFCF),16.0,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),25.0,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),,,,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),100.0,,,,,Measured at fixed prices and FX rates.,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=199"",""p.199 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2025,prospective,"Safety, Health and Environment (SHE) Measures",20.0,Not specified,,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),,,,Not disclosed (commercially sensitive - to be disclosed in 2025 annual report),100.0,,,,,"Components: NEW: Critical Action Closure (new measure to enhance focus on leading safety measures), planned maintenance delivery, Visible Felt Leadership (VFL), environmental footprint improvement. Subject to TRIFR (Total Recordable Injury Frequency Rate) underpin; Committee may reduce bonus in event of fatalities considering all relevant circumstances.",anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=201"",""p.201 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2025,prospective,Strategic Measures (Qualitative),16.0,Not specified,,Not disclosed (commercially sensitive - specific details to be disclosed in 2025 annual report),,,,Not disclosed (commercially sensitive - specific details to be disclosed in 2025 annual report),100.0,,,,Linked to Group strategic priorities and business needs for 2025.,Maximum 20% of total bonus can be based on personal measures per policy.,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=202"",""p.202 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,2025,prospective,Individual/Personal Objectives (Qualitative),14.0,Not specified,,Not disclosed (commercially sensitive - specific details to be disclosed in 2025 annual report),,,,Not disclosed (commercially sensitive - specific details to be disclosed in 2025 annual report),100.0,,,,Critical deliverables tailored to CEO role and responsibilities.,,anglo_american_ar_2024,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=199"",""p.199 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2025,completed,EPS at Fixed Prices and FX Rates,17.0,Not explicitly disclosed (commercially sensitive),25.0,Not explicitly disclosed (commercially sensitive),100.0,,,,,$0.44 (fixed price),0.0,72.0,EPS at fixed prices did not vest. The fixed price EPS metric was not a driver of the 66% financial element payout.,"Designed to reflect Group operational performance excluding price and currency variations. Represents half of the 34% EPS total weighting. Did not vest — financial measures overall paid out at 66% of maximum, driven by full vesting of SAFCF and EPS at actual prices; fixed price EPS did not contribute to full vesting.",anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=221"",""p.221 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2025,completed,EPS at Actual Prices and FX Rates,17.0,Not explicitly disclosed (commercially sensitive),25.0,Not explicitly disclosed (commercially sensitive),100.0,,,,,$0.54 (actual price),100.0,72.0,Full vesting achieved. EPS at actual prices was one of the two key drivers of the overall 66% financial measures payout.,Links reward to in-year underlying equity returns to shareholders. Represents half of the 34% EPS total weighting. One of the two drivers of the 66% financial element payout.,anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=225"",""p.225 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2025,completed,Sustaining Attributable Free Cash Flow (SAFCF) at Fixed Prices and FX Rates,16.0,Not explicitly disclosed (commercially sensitive),25.0,Not explicitly disclosed (commercially sensitive),100.0,,,,,$(0.23) billion (fixed price),100.0,72.0,Full vesting achieved. SAFCF at fixed prices was one of the two key drivers of the overall 66% financial measures payout.,Measured at fixed prices and FX rates; incentivises cash generation. One of the two drivers of the 66% financial element payout.,anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=224"",""p.224 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2025,completed,"Safety, Health and Environment (SHE) Measures",20.0,Not explicitly disclosed,25.0,Not explicitly disclosed,100.0,,,,,Strong performance against health and environment targets; safety performance also strong,100.0,72.0,Full vesting achieved across SHE measures. Strong performance against health and environment targets; safety performance also strong.,"Measures are largely leading in nature, designed to support strengthened safety outcomes. Subject to separate safety deductor applied to overall bonus. Achieved 20% out of 20% maximum weighting.",anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=241"",""p.241 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2025,completed,Strategic Measures (Shared),16.0,Combination of quantitative and qualitative metrics reflecting Group strategic priorities for the year; specific targets not disclosed,25.0,Combination of quantitative and qualitative metrics reflecting Group strategic priorities for the year; specific targets not disclosed,100.0,,,,,Strong overall delivery against strategic priorities,93.75,72.0,"The Committee made a detailed assessment of performance against the Group's strategic priorities for 2025. Key areas included operational excellence, portfolio simplification, and growth initiatives. Strategic objectives were shared between executive directors. Achieved 15% out of 16% maximum weighting (93.75% of element maximum).",Strategic objectives were shared between executive directors. Achieved 15% out of 16% maximum weighting.,anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=231"",""p.231 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2025,completed,Individual/Personal Objectives (CEO-specific),14.0,Specific targets set for CEO role; not all disclosed in detail,25.0,Specific targets set for CEO role; not all disclosed in detail,100.0,,,,,Sub-metric outcomes: Produce to Plan (5% weight) — Group CuEq production (excluding De Beers) -5% vs Budget; RemainCo CuEq production +1% vs Budget → Achieved 3%. Deliver Growth – Inorganic Growth Strategy (3% weight) — Anglo Teck merger announced September 2025; shareholder and ICA approval received December 2025; regulatory approvals and integration planning progressing as per plan → Achieved 3%. Deliver Growth – Woodsmith (3% weight) — Plan for studies completed and ready for execution in 2026; significant progress on syndication with Mitsubishi agreement signed and completed February 2026 → Achieved 3%. Deliver Growth – Collahuasi (3% weight) — FEL 2 completed; GIA review complete; environmental baseline work commenced early 2025 → Achieved 3%.,85.71,72.0,"CEO achieved 12% out of 14% maximum weighting (85.71% of element maximum). Produce to Plan sub-metric partially underperformed (achieved 3% out of 5%). All three growth sub-metrics (Inorganic Growth Strategy, Woodsmith, Collahuasi) achieved full payout of 3% each.","Total individual objectives achieved = 12% out of 14% maximum weighting. One sub-metric appears to have partially underperformed, resulting in 12% rather than 14%. Sub-metrics: Produce to Plan (5%), Deliver Growth – Inorganic Growth Strategy (3%), Deliver Growth – Woodsmith (3%), Deliver Growth – Collahuasi (3%).",anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=252"",""p.252 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2026,prospective,Underlying EPS at Actual Prices and FX Rates,20.0,Not disclosed — commercially sensitive; to be disclosed in 2026 Annual Report,25.0,Not disclosed — commercially sensitive; to be disclosed in 2026 Annual Report,100.0,,,,,,,,"New consolidated EPS metric for FY2026, replacing the prior dual EPS structure (fixed price and actual price). Specific financial targets considered commercially sensitive and to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration.",Replaces the prior split between fixed and actual price EPS. Links reward to in-year underlying equity returns to shareholders. Below threshold performance results in zero payout for this element.,anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=228"",""p.228 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2026,prospective,Sustaining Attributable Free Cash Flow (SAFCF) at Fixed Prices and FX Rates,15.0,Not disclosed — commercially sensitive; to be disclosed in 2026 Annual Report,25.0,Not disclosed — commercially sensitive; to be disclosed in 2026 Annual Report,100.0,,,,,,,,Continued from FY2025 plan. Specific financial targets to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration.,Incentivises cash generation; measured at fixed prices and FX rates. Below threshold performance results in zero payout for this element. Specific financial targets considered commercially sensitive and to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration.,anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=252"",""p.252 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2026,prospective,EBITDA at Fixed Prices and FX Rates,15.0,Not disclosed — commercially sensitive; to be disclosed in 2026 Annual Report,25.0,Not disclosed — commercially sensitive; to be disclosed in 2026 Annual Report,100.0,,,,,,,,New metric introduced for FY2026 replacing EPS at fixed prices/FX. Designed to give more weighting to measures the Group has material ability to impact and enable closer alignment with business targets. Specific financial targets to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration.,"New metric for FY2026, replacing EPS at fixed prices and FX rates from the prior year. Introduced to give more weighting to measures the Group has material ability to impact and enable closer alignment with business targets. Below threshold performance results in zero payout for this element. Specific financial targets considered commercially sensitive and to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration.",anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=228"",""p.228 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2026,prospective,"Safety, Health and Environment (SHE) Measures",20.0,"Specific targets not disclosed; safety objectives focused on elimination of fatalities, environment, health and injuries",25.0,"Specific targets not disclosed; safety objectives focused on elimination of fatalities, environment, health and injuries",100.0,,,,,,,,"Safety objectives focused on elimination of fatalities, environment, health and injuries. Specific targets not disclosed prospectively. Subject to overall safety deductor.","Subject to overall safety deductor applied on a multiplicative basis to the overall bonus outcome. Committee retains discretion to reduce bonus in the event of one or more fatalities, taking into consideration all relevant facts and circumstances including number of fatalities, cause, repeat failures and number of high potential incidents. Below threshold performance results in zero payout for this element.",anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=241"",""p.241 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2026,prospective,Strategic Measures (Shared),20.0,"Strategic objectives supporting the Group's delivery on operational excellence, portfolio simplification and growth; specific targets not disclosed (to be disclosed in 2026 Annual Report)",25.0,"Strategic objectives supporting the Group's delivery on operational excellence, portfolio simplification and growth; specific targets not disclosed (to be disclosed in 2026 Annual Report)",100.0,,,,,,,,"Strategic objectives supporting the Group's delivery on operational excellence, portfolio simplification and growth. Shared between executive directors. Combination of quantitative and qualitative metrics. Specific targets to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration.",Shared between executive directors. Combination of quantitative and qualitative metrics. Below threshold performance results in zero payout for this element. Specific targets to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration. Increased from 16% in FY2025 to 20% in FY2026.,anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=231"",""p.231 of AR"")",2.0,
Anglo American Plc,AAL LN Equity,Materials,Materials,Metals & Mining,Diversified Metals & Mining,41070.1,Annual Bonus,FY2026,prospective,Personal Strategic Measures (CEO-specific),10.0,Individually tailored objectives to motivate execution of Group strategy; specific targets not disclosed (to be disclosed in 2026 Annual Report),25.0,Individually tailored objectives to motivate execution of Group strategy; specific targets not disclosed (to be disclosed in 2026 Annual Report),100.0,,,,,,,,Individually tailored objectives to motivate execution of Group strategy. Specific targets not disclosed prospectively; to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration.,Tailored specifically for the CEO role. Below threshold performance results in zero payout for this element. Specific targets to be disclosed retrospectively in the 2026 Annual Report on Directors' Remuneration. Reduced from 14% in FY2025 to 10% in FY2026.,anglo_american_ar_2025,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf,"=HYPERLINK(""https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group-v9/PLC/investors/annual-reporting/2025/aa-annual-report-full-2025.pdf#page=252"",""p.252 of AR"")",2.0,
Anglo-Eastern Plantations Plc,AEP LN Equity,Consumer Staples,Food Beverage & Tobacco,Food Products,Agricultural Products & Services,845.2,Bonus scheme,2024,completed,"General performance assessment (composite of multiple weighted criteria including crop production, external crop purchase, increases in planted area, efficiency of mill performance, overall profitability, and implementation of cost reduction measures)",100.0,Not disclosed,0.0,Not disclosed,,,,Not disclosed - Maximum potential: 8 months of salary,100.0,Not disclosed in detail - Performance assessed following appointment as Group CEO on 1 October 2024,59.0,59.0,"Kevin Wong was awarded a 2024 bonus based on his general performance in the year following his appointment as Group CEO on 1 October 2024. Specific performance metrics, targets, and achievement levels were not disclosed in the report. The bonus represents 59% of maximum potential (approximately 4.7 months of salary out of a maximum 8 months).","CEO Kevin Wong Tack Wee was appointed on 1 October 2024. Bonus awarded based on general performance in the year. The report notes that senior executives and managers of operating units are assessed using weighted performance criteria including: crop production, external crop purchase, increases in planted area (rate of new planting), efficiency of mill performance (oil extraction rates), overall profitability, and implementation of cost reduction measures. However, specific targets, weights, thresholds, and actual performance against these metrics for the CEO are not disclosed.",anglo_eastern_plantations_ar_2024,https://aepplantations.com/wp-content/uploads/2026/04/AEP-Plantations-PLC-Annual-Report-2025.pdf,"=HYPERLINK(""https://aepplantations.com/wp-content/uploads/2026/04/AEP-Plantations-PLC-Annual-Report-2025.pdf#page=43"",""p.43 of AR"")",2.0,
Anglo-Eastern Plantations Plc,AEP LN Equity,Consumer Staples,Food Beverage & Tobacco,Food Products,Agricultural Products & Services,845.2,Not specified,2025,prospective,Performance-based incentives to reinforce sustainable growth (specific metrics not disclosed),100.0,Not disclosed,,Not disclosed,,,,Not disclosed,,,,,"No specific bonus structure, metrics, or targets for 2025 are disclosed in the report. The company indicates that a remuneration package aligning with long-term shareholder value will be recommended with performance-based incentives, but details are not provided.","The report states: 'Looking ahead to 2025, a remuneration package that aligns with long-term shareholder value will be recommended, incorporating performance-based incentives to reinforce sustainable growth.' However, no specific metrics, targets, weights, or performance thresholds for the 2025 CEO bonus plan are disclosed in the report.",anglo_eastern_plantations_ar_2024,https://aepplantations.com/wp-content/uploads/2026/04/AEP-Plantations-PLC-Annual-Report-2025.pdf,"=HYPERLINK(""https://aepplantations.com/wp-content/uploads/2026/04/AEP-Plantations-PLC-Annual-Report-2025.pdf#page=40"",""p.40 of AR"")",2.0,
Antofagasta Plc,ANTO LN Equity,Materials,Materials,Metals & Mining,Copper,37561.1,Annual Bonus Plan,2024,completed,EBITDA,15.0,Not disclosed,0.0,Not disclosed,50.0,,,"$4,004m",100.0,"$3,351m",10.5,72.0,,"Adjusted for exchange rates, inflation, copper price, and one-off bonuses. Represents 21.4% of Group Performance (70% of this element achieved)",antofagasta_ar_2024,https://www.antofagasta.co.uk/media/4905/49913-antofagasta-ar25-web-ready.pdf,"=HYPERLINK(""https://www.antofagasta.co.uk/media/4905/49913-antofagasta-ar25-web-ready.pdf#page=151"",""p.151 of AR"")",2.0,
Antofagasta Plc,ANTO LN Equity,Materials,Materials,Metals & Mining,Copper,37561.1,Annual Bonus Plan,2024,completed,Copper Production,20.0,Not disclosed,0.0,Not disclosed,50.0,,,710kt,100.0,664kt,15.5,72.0,,Includes 50% of Zaldívar. Represents 28.6% of Group Performance (77.5% of this element achieved),antofagasta_ar_2024,https://www.antofagasta.co.uk/media/4905/49913-antofagasta-ar25-web-ready.pdf,"=HYPERLINK(""https://www.antofagasta.co.uk/media/4905/49913-antofagasta-ar25-web-ready.pdf#page=151"",""p.151 of AR"")",2.0,
Antofagasta Plc,ANTO LN Equity,Materials,Materials,Metals & Mining,Copper,37561.1,Annual Bonus Plan,2024,completed,Cash Costs,10.0,Not disclosed,0.0,Not disclosed,50.0,,,202,100.0,237,0.0,72.0,,"Adjusted for exchange rates, inflation, and one-off bonuses. Represents 14.3% of Group Performance",antofagasta_ar_2024,https://www.antofagasta.co.uk/media/4905/49913-antofagasta-ar25-web-ready.pdf,"=HYPERLINK(""https://www.antofagasta.co.uk/media/4905/49913-antofagasta-ar25-web-ready.pdf#page=144"",""p.144 of AR"")",2.0,
